"pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility"
"HIP 34222 b,HIP 34222,HIP 34222,1,1,Radial Velocity,2021,0.492,13.9,263.79758,0.305,K7 V,0.62,0.62,22.8386,Cerro Tololo Inter-American Observatory"
"HIP 35173 b,HIP 35173,HIP 35173,1,1,Radial Velocity,2019,0.217,3.61,12.7,0.16,K2 V,0.77,0.79,33.1562,Las Campanas Observatory"
"HIP 4845 b,HIP 4845,HIP 4845,1,1,Radial Velocity,2020,0.176,3.89,14.4,0.25,K7V,0.6,0.62,21.0974,Multiple Observatories"
"HIP 48714 b,HIP 48714,HIP 48714,1,1,Radial Velocity,2020,0.112,5.11,22.9,0.5,M0.5 Ve,0.6,0.58,10.5298,Multiple Observatories"
"HIP 55507 b,HIP 55507,HIP 55507,1,1,Radial Velocity,2022,5.055931,12.6,2625.12713,0.36161,M0,0.72,0.65,25.4893,Multiple Observatories"
"HIP 56640 b,HIP 56640,HIP 56640,1,1,Radial Velocity,2021,4.550828,12.7,2151.6473,0.118397,K1 III,4.93,1.75,122.324,Multiple Observatories"
"HIP 5763 b,HIP 5763,HIP 5763,1,1,Radial Velocity,2021,0.17,14.2,162.09249,0.054,K6 V,0.75,0.72,31.9043,Cerro Tololo Inter-American Observatory"
"HIP 63242 b,HIP 63242,HIP 63242,1,1,Radial Velocity,2013,0.565,12.5,2917.56,0.23,G8,10.28,1.54,156.456,Multiple Observatories"
"HIP 65891 b,HIP 65891,HIP 65891,1,1,Radial Velocity,2015,2.79266,12.7,1933.66969,0.128276,K0 III,8.93,2.49,150.292,Multiple Observatories"
"HIP 67537 b,HIP 67537,HIP 67537,1,1,Radial Velocity,2017,4.818835,12.3,4309.24472,0.586259,K1 III,8.69,2.32,116.046,Multiple Observatories"
"HIP 71135 b,HIP 71135,HIP 71135,1,1,Radial Velocity,2019,0.335,4.55,18.8,0.21,M1,0.68,0.66,32.3311,Las Campanas Observatory"
"HIP 74890 b,HIP 74890,HIP 74890,1,1,Radial Velocity,2016,2.1,13.3,762.792,0.07,K1 III,5.77,1.74,78.6562,Multiple Observatories"
"HIP 75092 b,HIP 75092,HIP 75092,1,1,Radial Velocity,2021,2.02,13.5,568.91285,0.42,K0 III,4.53,1.28,81.6696,Multiple Observatories"
"HIP 79431 b,HIP 79431,HIP 79431,1,1,Radial Velocity,2009,0.36,13.4,667.415,0.29,M3 V,0.48,0.49,14.5324,W. M. Keck Observatory"
"HIP 90988 b,HIP 90988,HIP 90988,1,1,Radial Velocity,2021,1.359652,13.4,667.09663,0.080562,K1 III,3.94,1.61,94.0349,Multiple Observatories"
"HIP 91258 b,HIP 91258,HIP 91258,1,1,Radial Velocity,2013,0.06,13.7,346.4347,0.02,G5 V,0.89,0.97,45.8846,Haute-Provence Observatory"
"HIP 97233 b,HIP 97233,HIP 97233,1,1,Radial Velocity,2014,2.490819,12.1,6399.22435,0.630174,K0,5.34,1.81,102.275,Multiple Observatories"
"HR 810 b,HR 810,HR 810,1,1,Radial Velocity,1999,0.92,13.3,721.4741,0.14,G0V,1.13,1.34,17.3181,La Silla Observatory"
"K2-10 b,K2-10,K2-10,1,1,Transit,2015,0.137,3.84,27,0.31,F9,0.98,0.92,272.36,K2"
"K2-100 b,K2-100,K2-100,1,1,Transit,2016,0.0301,3.88,21.8,0,G0 V,1.24,1.15,188.959,K2"
"K2-101 b,K2-101,K2-101,1,1,Transit,2016,0.1124,2,4.66,0.1,K3,0.76,0.82,188.33,K2"
"K2-104 b,K2-104,K2-104,1,1,Transit,2016,0.0242,1.79,3.86,0.09,M2.5e,0.48,0.51,189.289,K2"
"K2-107 b,K2-107,K2-107,1,1,Transit,2017,0.0475,15.98,266.9772,0,F9 IV,1.81,1.3,685.2,K2"
"K2-110 b,K2-110,K2-110,1,1,Transit,2017,0.1027,2.56,16.7,0.079,K3 V,0.71,0.75,116.474,K2"
"K2-113 b,K2-113,K2-113,1,1,Transit,2017,0.0642,12.14,410.0007,0,G,1.24,1.04,635.722,K2"
"K2-115 b,K2-115,K2-115,1,1,Transit,2017,0.143,12.06,266.9772,0.137,G4,0.88,0.95,413.591,K2"
"K2-137 b,K2-137,K2-137,1,1,Transit,2017,0.0058,0.64,158.915,0,M3 V,0.29,0.46,98.8765,K2"
"K2-139 b,K2-139,K2-139,1,1,Transit,2017,0.1796,9.11,123.00021,0.12,K0 V,0.88,0.96,153.856,K2"
"K2-14 b,K2-14,K2-14,1,1,Transit,2015,0.0627,4.81,20.7,0.14,M0,0.45,0.47,364.048,K2"
"K2-140 b,K2-140,K2-140,1,1,Transit,2017,0.068,13.563,295.58042,0,G6 V,1.06,0.96,347.917,K2"
"K2-167 b,K2-167,K2-167,1,1,Transit,2018,0.0999,2.264,5.75,0.41,F7 V,1.46,1.34,80.8994,K2"
"K2-17 b,K2-17,K2-17,1,1,Transit,2015,0.119,2.23,5.6,0.18,K7,0.66,0.71,125.106,K2"
"K2-180 b,K2-180,K2-180,1,1,Transit,2018,0.0734,2.52,11.44182,0,K2 V,0.72,0.72,203.896,K2"
"K2-216 b,K2-216,K2-216,1,1,Transit,2018,0.028,1.75,8,0,K5 V,0.72,0.7,115.461,K2"
"K2-237 b,K2-237,K2-237,1,1,Transit,2018,0.03558,16.197,433.20012,0.042,F9 V,1.26,1.26,314.995,K2"
"K2-238 b,K2-238,K2-238,1,1,Transit,2018,0.046,14.572,273.3338,0,G2 V,1.59,1.19,537.963,K2"
"K2-25 b,K2-25,K2-25,1,1,Transit,2015,0.0287,3.44,24.5,0.428,M4.5 V,0.29,0.26,44.9565,K2"
"K2-260 b,K2-260,K2-260,1,1,Transit,2018,0.0404,17.396,451.3186,0,F6 V,1.69,1.39,663.834,K2"
"K2-261 b,K2-261,K2-261,1,1,Transit,2018,0.1034,9.528,59.75174,0.286,G7 IV/V,1.64,1.09,213.283,K2"
"K2-263 b,K2-263,K2-263,1,1,Transit,2018,0.2573,2.41,14.8,0.14,G9 V,0.85,0.88,162.481,K2"
"K2-28 b,K2-28,K2-28,1,1,Transit,2016,0.0214,2.32,5.99,0,M4,0.29,0.26,62.9969,K2"
"K2-292 b,K2-292,K2-292,1,1,Transit,2019,0.13,2.63,24.5,0.04,G3 V,1.09,1,114.293,K2"
"K2-295 b,K2-295,K2-295,1,1,Transit,2018,0.0451,10.054,106.47305,0,K5 V,0.7,0.74,232.801,K2"
"K2-30 b,K2-30,K2-30,1,1,Transit,2016,0.04839,11.646,184.02357,0,G6 V,0.84,0.9,333.042,K2"
"K2-33 b,K2-33,K2-33,1,1,Transit,2016,0.0409,5.04,1175.971,0,M3.3,1.05,0.56,139.268,K2"
"K2-34 b,K2-34,K2-34,1,1,Transit,2016,0.0442,13.75,539.67534,0,F,1.42,1.16,348.646,K2"
"K2-60 b,K2-60,K2-60,1,1,Transit,2016,0.045,7.656,135.39558,0,G4 V,1.12,0.97,491.87,K2"
"K2-95 b,K2-95,K2-95,1,1,Transit,2016,0.0525,3.31,11,0.16,M3.0,0.4,0.41,179.854,K2"
"K2-98 b,K2-98,K2-98,1,1,Transit,2016,0.0974,5.2,32.2,0,F8 V,1.57,1.2,518.625,K2"
"K2-99 b,K2-99,K2-99,1,1,Transit,2016,0.1597,11.73,308.2951,0.19,G0 IV,2.63,1.63,519.229,K2"
"KELT-11 b,KELT-11,KELT-11,1,1,Transit,2017,0.06229,15.132,54.34893,0.0007,G8/K0 IV,2.69,1.44,99.1596,KELT-South"
"KELT-14 b,KELT-14,KELT-14,1,1,Transit,2016,0.03005,19.537,408.09372,0,G4,1.52,1.24,250.121,KELT-South"
"KELT-20 b,KELT-20,KELT-20,1,1,Transit,2017,0.0542,19.515,1074.90106,0,A2 V,1.57,1.76,136.426,KELT-North"
"KELT-21 b,KELT-21,KELT-21,1,1,Transit,2018,0.05224,17.777,1242.7153,0,A8 V,1.64,1.46,470.878,KELT-North"
"KELT-24 b,KELT-24,KELT-24,1,1,Transit,2019,0.06969,14.258,1646.3594,0.077,F7,1.51,1.46,96.5173,KELT-North"
"KELT-7 b,KELT-7,KELT-7,1,1,Transit,2015,0.04415,17.934,441.7837,0,F,1.81,1.76,136.681,KELT"
"KELT-8 b,KELT-8,KELT-8,1,1,Transit,2015,0.0455,18.159,209.7678,0.04,G2 V,1.46,0.81,197.572,KELT"
"KPS-1 b,KPS-1,KPS-1,1,1,Transit,2018,0.0269,11.545,346.4347,0,K1 V,0.91,0.89,262.706,Acton Sky Portal Observatory"
"Kapteyn c,Kapteyn,Kapteyn,1,1,Radial Velocity,2014,0.311,2.54,7,0.23,M2.0V,0.29,0.28,3.93305,Multiple Observatories"
"Kepler-1654 b,Kepler-1654,Kepler-1654,1,1,Transit,2018,2.026,9.18,158.915,0.26,G5 V,1.18,1.01,568.117,Kepler"
"Kepler-1655 b,Kepler-1655,Kepler-1655,1,1,Transit,2018,0.103,2.213,5,0,G0 V,1.03,1.03,213.26,Kepler"
"Kepler-17 b,Kepler-17,Kepler-17,1,1,Transit,2011,0.02591,14.68,778.65,0.011,G2 V,1.01,1.04,720.753,Kepler"
"Kepler-22 b,Kepler-22,Kepler-22,1,1,Transit,2011,0.849,2.38,36,0,G5 V,0.98,0.97,194.642,Kepler"
"Kepler-39 b,Kepler-39,Kepler-39,1,1,Transit,2011,0.164,13.9,6388.1,0.112,F7 V,1.4,1.29,1057.41,Kepler"
"Kepler-40 b,Kepler-40,Kepler-40,1,1,Transit,2010,0.08,13.11,699.2,0,F5 IV,2.13,1.48,2305.01,Kepler"
"Kepler-41 b,Kepler-41,Kepler-41,1,1,Transit,2011,0.03101,14.46,177.98,0,G2 V,1.29,1.15,1093.08,Kepler"
"Kepler-412 b,Kepler-412,Kepler-412,1,1,Transit,2014,0.02897,15.031,299.07803,0.0038,G3 V,1.29,1.17,1086.24,Kepler"
"Kepler-421 b,Kepler-421,Kepler-421,1,1,Transit,2014,1.219,4.16,16.1,0.041,G9/K0,0.76,0.79,348.558,Kepler"
"Kepler-423 b,Kepler-423,Kepler-423,1,1,Transit,2014,0.03585,13.361,189.101,0.019,G4 V,0.95,0.85,758.753,Kepler"
"Kepler-425 b,Kepler-425,Kepler-425,1,1,Transit,2014,0.0464,10.962,79.45,0.33,K1 V,0.86,0.93,646.647,Kepler"
"Kepler-426 b,Kepler-426,Kepler-426,1,1,Transit,2014,0.0414,12.22,108.06,0.18,G1 V,0.92,0.91,843.695,Kepler"
"Kepler-427 b,Kepler-427,Kepler-427,1,1,Transit,2014,0.091,13.79,92.17,0.57,G2 V,1.35,0.96,1017.8,Kepler"
"Kepler-428 b,Kepler-428,Kepler-428,1,1,Transit,2014,0.0433,12.11,403.63,0.22,K1 V,0.8,0.87,686.284,Kepler"
"Kepler-43 b,Kepler-43,Kepler-43,1,1,Transit,2011,0.046,13.664,1026.5909,0.017,F8 V,1.42,1.32,1005.84,Kepler"
"Kepler-44 b,Kepler-44,Kepler-44,1,1,Transit,2011,0.0446,12.22,317.82,0.066,G2 IV,1.35,1.12,1188,Kepler"
"Kepler-447 b,Kepler-447,Kepler-447,1,1,Transit,2015,0.0769,18.49,435.41,0.123,G8 V,1.05,1,268.041,Kepler"
"Kepler-45 b,Kepler-45,Kepler-45,1,1,Transit,2011,0.03,10.76,160.497,0.11,M,0.55,0.59,381.949,Kepler"
"Kepler-452 b,Kepler-452,Kepler-452,1,1,Transit,2015,1.046,1.63,3.29,0,G2,1.11,1.04,551.727,Kepler"
"Kepler-61 b,Kepler-61,Kepler-61,1,1,Transit,2013,0.24861,2.15,5.27,0.25,K7 V,0.62,0.64,335.079,Kepler"
"Kepler-617 b,Kepler-617,Kepler-617,1,1,Transit,2016,0.0219,1.32,2.3,0,M1 V,0.48,0.51,173.354,Kepler"
"Kepler-66 b,Kepler-66,Kepler-66,1,1,Transit,2013,0.1352,2.8,8.25,0,G0 V,0.97,1.04,1202.96,Kepler"
"Kepler-67 b,Kepler-67,Kepler-67,1,1,Transit,2013,0.1171,2.94,8.96,0,G9 V,0.78,0.86,1131.19,Kepler"
"Kepler-74 b,Kepler-74,Kepler-74,1,1,Transit,2013,0.0781,10.76,200.22,0,F8 V,1.12,1.18,1177.55,Kepler"
"Kepler-75 b,Kepler-75,Kepler-75,1,1,Transit,2013,0.0818,11.77,3209.9,0.57,K0 V,0.89,0.91,835.356,Kepler"
"Kepler-76 b,Kepler-76,Kepler-76,1,1,Orbital Brightness Modulation,2013,0.0274,15.244,638.8383,0,F,1.32,1.2,822.96,Kepler"
"Kepler-77 b,Kepler-77,Kepler-77,1,1,Transit,2013,0.04501,10.761,136.661,0,G5 V,0.99,0.95,639.411,Kepler"
"Kepler-91 b,Kepler-91,Kepler-91,1,1,Transit,2013,0.0731,15.323,257.4423,0.0519,K3,6.3,1.31,1294.69,Kepler"
"L 168-9 b,L 168-9,L 168-9,1,1,Transit,2020,0.02091,1.39,4.6,0.21,M1 V,0.6,0.62,25.1496,Transiting Exoplanet Survey Satellite (TESS)"
"LHS 1815 b,LHS 1815,LHS 1815,1,1,Transit,2020,0.0404,1.088,8.7,0,M1,0.5,0.5,29.8424,Transiting Exoplanet Survey Satellite (TESS)"
"LP 714-47 b,LP 714-47,LP 714-47,1,1,Transit,2020,0.0417,4.7,30.8,0.04,M0.0 V,0.58,0.59,52.616,Transiting Exoplanet Survey Satellite (TESS)"
"LSPM J2116+0234 b,LSPM J2116+0234,LSPM J2116+0234,1,1,Radial Velocity,2019,0.0876,3.71,13.3,0.183,M3.0 V,0.43,0.43,17.6297,Calar Alto Observatory"
"LTT 9779 b,LTT 9779,LTT 9779,1,1,Transit,2020,0.01679,4.72,29.32,0,G7 V,0.95,0.77,80.4373,Transiting Exoplanet Survey Satellite (TESS)"
"MASCARA-1 b,MASCARA-1,MASCARA-1,1,1,Transit,2017,0.040352,17.901,1175.971,0.00034,A8,2.08,1.9,182.273,Multiple Observatories"
"NGC 2682 Sand 364 b,NGC 2682 Sand 364,NGC 2682 Sand 364,1,1,Radial Velocity,2014,0.53,12.7,2126.2827,0.35,K3 III,39.59,9.06,817.192,Multiple Observatories"
"NGTS-1 b,NGTS-1,NGTS-1,1,1,Transit,2017,0.0326,14.908,258.07796,0.016,M0.5,0.57,0.62,218.121,Paranal Observatory"
"NGTS-10 b,NGTS-10,NGTS-10,1,1,Transit,2020,0.0143,13.507,687.14846,0,K5 V,0.7,0.7,324.6986504,Paranal Observatory"
"NGTS-11 b,NGTS-11,NGTS-11,1,1,Transit,2020,0.201,9.158,109.33352,0.13,K,0.83,0.86,190.422,Transiting Exoplanet Survey Satellite (TESS)"
"NGTS-12 b,NGTS-12,NGTS-12,1,1,Transit,2020,0.0757,11.747,66.10864,0,G,1.59,1.02,446.442,Paranal Observatory"
"NGTS-15 b,NGTS-15,NGTS-15,1,1,Transit,2021,0.0441,12.33,238.68913,0,G6 V,0.95,0.99,786.485,Paranal Observatory"
"NGTS-16 b,NGTS-16,NGTS-16,1,1,Transit,2021,0.0523,14.572,211.99155,0,G7 V,1.21,1,898.168,Paranal Observatory"
"NGTS-17 b,NGTS-17,NGTS-17,1,1,Transit,2021,0.0391,13.899,242.8209,0,G4 V,1.34,1.02,1040.28,Paranal Observatory"
"NGTS-18 b,NGTS-18,NGTS-18,1,1,Transit,2021,0.0448,13.563,129.99182,0,G5 V,1.39,1,1096.19,Paranal Observatory"
"NGTS-2 b,NGTS-2,NGTS-2,1,1,Transit,2018,0.063,17.878,235.1942,0,F5 V,1.7,1.64,356.391,Paranal Observatory"
"NGTS-20 b,NGTS-20,NGTS-20,1,1,Transit,2022,0.313,11.994,947.12865,0.432,G1 IV,1.78,1.47,382.898,Transiting Exoplanet Survey Satellite (TESS)"
"NGTS-21 b,NGTS-21,NGTS-21,1,1,Transit,2022,0.0236,14.908,750.07504,0,K3 V,0.86,0.72,592.891,Paranal Observatory"
"NGTS-23 b,NGTS-23,NGTS-23,1,1,Transit,2022,0.0504,14.202,194.82881,0,F9 V,1.24,1.01,1074.95,Next-Generation Transit Survey (NGTS)"
"NGTS-24 b,NGTS-24,NGTS-24,1,1,Transit,2022,0.0479,13.608,165.27077,0,G2 IV,1.64,1.26,683.062,Next-Generation Transit Survey (NGTS)"
"NGTS-25 b,NGTS-25,NGTS-25,1,1,Transit,2022,0.0388,11.467,203.09235,0,K0 V,0.86,0.91,521.233,Next-Generation Transit Survey (NGTS)"
"NGTS-5 b,NGTS-5,NGTS-5,1,1,Transit,2019,0.0382,12.733,72.78307,0,K2 V,0.74,0.66,306.779,Paranal Observatory"
"NGTS-8 b,NGTS-8,NGTS-8,1,1,Transit,2019,0.035,12.218,295.5819,0.01,K0 V,0.98,0.89,428.976,Paranal Observatory"
"NGTS-9 b,NGTS-9,NGTS-9,1,1,Transit,2019,0.058,11.994,921.707,0.06,F8 V,1.38,1.34,609.128,Paranal Observatory"
"OGLE-TR-10 b,OGLE-TR-10,OGLE-TR-10,1,1,Transit,2004,0.0434,14.011,197.046,0.82,G2 V,1.17,1.14,1344.97,OGLE"
"OGLE-TR-111 b,OGLE-TR-111,OGLE-TR-111,1,1,Transit,2004,0.0473,11.422,174.799,0.54,K2 V,0.83,0.82,1068.33,OGLE"
"OGLE-TR-113 b,OGLE-TR-113,OGLE-TR-113,1,1,Transit,2004,0.02289,12.251,400.449,0.15,K4 V,0.77,0.78,566.459,OGLE"
"OGLE-TR-132 b,OGLE-TR-132,OGLE-TR-132,1,1,Transit,2004,0.03035,13.45,375.02,0.6,F5 V,1.32,1.3,2012.62,OGLE"
"OGLE-TR-56 b,OGLE-TR-56,OGLE-TR-56,1,1,Transit,2002,0.02383,15.278,441.77,0.67,F8 V,1.74,1.17,282.8391387,OGLE"
"Qatar-10 b,Qatar-10,Qatar-10,1,1,Transit,2019,0.0286,17.295,233.92288,0,F7 V,1.25,1.16,559.068,Qatar"
"Qatar-3 b,Qatar-3,Qatar-3,1,1,Transit,2017,0.03783,12.285,1369.8473,0,G0 V,1.27,1.15,735.601,Qatar"
"Qatar-4 b,Qatar-4,Qatar-4,1,1,Transit,2017,0.02803,12.722,1938.763,0,K1 V,0.85,0.9,329.036,Qatar"
"Qatar-5 b,Qatar-5,Qatar-5,1,1,Transit,2017,0.04127,12.408,1373.0256,0,G2 V,1.08,1.13,367.658,Qatar"
"Qatar-7 b,Qatar-7,Qatar-7,1,1,Transit,2019,0.0352,19.055,597.5204,0,F4 V,1.56,1.41,705.981,Qatar"
"Qatar-8 b,Qatar-8,Qatar-8,1,1,Transit,2019,0.0474,14.404,117.91493,0,G0 V,1.32,1.03,281.498,Qatar"
"Qatar-9 b,Qatar-9,Qatar-9,1,1,Transit,2019,0.0234,11.31,378.2177,0,K5 V,0.7,0.72,213.771,Qatar"
"Ross 128 b,Ross 128,Ross 128,1,1,Radial Velocity,2017,0.0496,1.11,1.4,0.116,M4,0.2,0.17,3.37454,La Silla Observatory"
"Ross 508 b,Ross 508,Ross 508,1,1,Radial Velocity,2022,0.05366,1.83,4,0.33,M4.5 V,0.21,0.18,11.2103,Subaru Telescope"
"TIC 237913194 b,TIC 237913194,TIC 237913194,1,1,Transit,2020,0.1207,12.52,617.22586,0.575,G3,1.09,1.03,306.063,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1075 b,TOI-1075,TOI-1075,1,1,Transit,2022,0.01159,1.791,9.95,0,K9 V/M0 V,0.58,0.6,61.4592,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1107 b,TOI-1107,TOI-1107,1,1,Transit,2022,0.0561,14.572,1064.72516,0.025,F6 V,1.81,1.35,281.314,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-122 b,TOI-122,TOI-122,1,1,Transit,2020,0.0392,2.72,7.85,0,M3 V,0.33,0.31,62.118,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1231 b,TOI-1231,TOI-1231,1,1,Transit,2021,0.1288,3.65,15.4,0.087,M3 V,0.48,0.49,27.6227,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1235 b,TOI-1235,TOI-1235,1,1,Transit,2020,0.03826,1.694,5.9,0.15,M0.5 V,0.62,0.63,39.6345,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1268 b,TOI-1268,TOI-1268,1,1,Transit,2022,0.0711,9.1,96.4,0.105,K1-K2,0.92,0.96,109.557,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1278 b,TOI-1278,TOI-1278,1,1,Transit,2021,0.095,12.218,5879.82553,0.013,M0 V,0.57,0.54,75.5759,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-132 b,TOI-132,TOI-132,1,1,Transit,2020,0.026,3.42,22.4,0.059,G8 V,0.9,0.97,163.678,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1422 b,TOI-1422,TOI-1422,1,1,Transit,2022,0.108,3.96,9,0.04,G2 V,1.02,0.98,155.141,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1431 b,TOI-1431,TOI-1431,1,1,Transit,2021,0.046,16.701,991.62463,0.0022,Am C,1.92,1.9,148.925,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-150.01,TOI-150,TOI-150,1,1,Transit,2019,0.07037,14.067,797.7533,0.262,F,1.53,1.35,336.267,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1518 b,TOI-1518,TOI-1518,1,1,Transit,2021,0.0389,21.017,731.00534,0.01,F0,1.95,1.79,225.888,Multiple Observatories"
"TOI-157 b,TOI-157,TOI-157,1,1,Transit,2020,0.03138,14.415,375.0394,0,G9 IV,1.17,0.95,355.683,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-163 b,TOI-163,TOI-163,1,1,Transit,2019,0.058,16.69,387.7526,0,F,1.65,1.44,411.719,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1685 b,TOI-1685,TOI-1685,1,1,Transit,2021,0.011557,1.7,3.78,0,M3.0 V,0.49,0.5,37.6153,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-169 b,TOI-169,TOI-169,1,1,Transit,2020,0.03524,12.173,251.40353,0,G1 V,1.29,1.15,407.84,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1696 b,TOI-1696,TOI-1696,1,1,Transit,2022,0.0229,3.09,48.8,0,M5V,0.28,0.26,64.9172,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1710 b,TOI-1710,TOI-1710,1,1,Transit,2022,0.16,5.34,28.3,0.16,G5 V,0.97,0.98,81.2271,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1728 b,TOI-1728,TOI-1728,1,1,Transit,2020,0.0391,5.05,26.78,0.057,M0,0.62,0.65,60.798,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1759 b,TOI-1759,TOI-1759,1,1,Transit,2022,0.1177,3.14,10.8,0,M0.0 V,0.6,0.61,40.0654,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1899 b,TOI-1899,TOI-1899,1,1,Transit,2020,0.1587,12.89,209.7678,0.118,M0,0.61,0.63,128.438,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-201 b,TOI-201,TOI-201,1,1,Transit,2021,0.3,11.299,133.4886,0.28,F6 V,1.32,1.32,113.825,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2136 b,TOI-2136,TOI-2136,1,1,Transit,2022,0.057,2.19,6.37,0,M4.5 V,0.34,0.34,33.3631,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2180 b,TOI-2180,TOI-2180,1,1,Transit,2022,0.828,11.321,875.61726,0.3683,G5,1.64,1.11,116.685,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2196 b,TOI-2196,TOI-2196,1,1,Transit,2022,0.02234,3.51,26,0,G V,1.04,1.03,259.947,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-220 b,TOI-220,TOI-220,1,1,Transit,2021,0.08911,3.03,13.8,0.032,K0 V,0.86,0.83,90.7402,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2257 b,TOI-2257,TOI-2257,1,1,Transit,2021,0.145,2.194,5.45,0.496,M3,0.31,0.33,57.7911,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-237 b,TOI-237,TOI-237,1,1,Transit,2020,0.0341,1.44,2.67,0,M4.5 V,0.21,0.18,38.0749,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2406 b,TOI-2406,TOI-2406,1,1,Transit,2021,0.0228,2.94,8.96,0.26,M4 V,0.2,0.16,55.419,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-269 b,TOI-269,TOI-269,1,1,Transit,2021,0.0345,2.77,8.8,0.425,M2 V,0.4,0.39,57.0225,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-3629 b,TOI-3629,TOI-3629,1,1,Transit,2022,0.043,8.295,82.63539,0.05,M1,0.6,0.63,130.091,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-3757 b,TOI-3757,TOI-3757,1,1,Transit,2022,0.03845,12,85.3,0.14,M0 V,0.62,0.64,181.139,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-3884 b,TOI-3884,TOI-3884,1,1,Transit,2022,0.0354,6,16.5,0.32,M4,0.3,0.28,43.1448,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-481 b,TOI-481,TOI-481,1,1,Transit,2020,0.097,11.097,486.2799,0.153,G,1.66,1.14,179.366,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5153 b,TOI-5153,TOI-5153,1,1,Transit,2022,0.158,11.882,1036.12061,0.091,F8 V,1.4,1.24,390.484,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-530 b,TOI-530,TOI-530,1,1,Transit,2021,0.052,9.303,127.13136,0,M0.5 V,0.54,0.53,148.762,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-540 b,TOI-540,TOI-540,1,1,Transit,2020,0.01223,0.903,0.674,0,M V,0.19,0.16,14.0022,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5542 b,TOI-5542,TOI-5542,1,1,Transit,2022,0.332,11.31,419.5335,0.018,G3 V,1.06,0.89,348.849,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-558 b,TOI-558,TOI-558,1,1,Transit,2021,0.1291,12.173,1147.36055,0.298,F V,1.5,1.35,402.63,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-559 b,TOI-559,TOI-559,1,1,Transit,2021,0.0723,12.229,1910.14873,0.151,G V,1.23,1.03,233.266,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-620 b,TOI-620,TOI-620,1,1,Transit,2022,0.04825,3.76,13.6,0.22,M2.5 V,0.55,0.58,33.0231,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-674 b,TOI-674,TOI-674,1,1,Transit,2021,0.025,5.25,23.6,0,M2 V,0.42,0.42,46.0851,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-677 b,TOI-677,TOI-677,1,1,Transit,2020,0.1038,13.115,392.83788,0.435,F8,1.28,1.18,141.812,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-813 b,TOI-813,TOI-813,1,1,Transit,2020,0.423,6.71,36.4,0,G0 IV,1.94,1.32,263.145,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-849 b,TOI-849,TOI-849,1,1,Transit,2020,0.01598,3.444,39.09,0,G,0.92,0.93,225.734,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-892 b,TOI-892,TOI-892,1,1,Transit,2020,0.092,11.994,301.9385,0.125,F,1.39,1.28,340.543,Transiting Exoplanet Survey Satellite (TESS)"
